id,first_name,last_name,credito,cargo
1,Kerri,Scarsbrook,jcb,Agender
2,Amity,Fontes,americanexpress,Genderqueer
3,Cazzie,Grotty,visa-electron,Male
4,Veronica,Dugald,instapayment,Female
5,Kassandra,Heinrici,mastercard,Female
6,Putnam,Kollas,jcb,Male
7,Nert,O'Farris,americanexpress,Female
8,Nevile,Crathern,jcb,Male
9,Ricki,Bassett,laser,Female
10,Maxim,Erskine,jcb,Male
11,Brit,Alwen,diners-club-enroute,Male
12,Scotty,Bygott,americanexpress,Genderqueer
13,Jordain,Scoggin,jcb,Genderqueer
14,Stacee,Blackler,mastercard,Male
15,Thaddeus,Ivanonko,visa,Male
16,Glynis,Pallis,jcb,Female
17,Lorant,Kunes,visa-electron,Male
18,Meir,Holdall,bankcard,Male
19,Nike,Tick,switch,Female
20,Ninnetta,Matchett,jcb,Female
21,Lonnard,Crossland,mastercard,Male
22,Pris,Dieton,jcb,Female
23,Dex,Bicknell,jcb,Male
24,Gregorio,Benkin,jcb,Male
25,Fabio,De Cruze,maestro,Male
26,Clo,Panchen,jcb,Female
27,Beulah,Jaspar,jcb,Female
28,Gil,Embleton,jcb,Male
29,Daryn,Hortop,americanexpress,Female
30,Griffith,Joynes,jcb,Male
31,Abbe,Dixson,visa-electron,Female
32,Raymund,Minchindon,jcb,Male
33,Merle,Petrello,jcb,Female
34,Poul,Sanders,jcb,Male
35,Lynnette,Enevoldsen,switch,Female
36,Silva,Guiot,jcb,Agender
37,Hyacinthe,Assel,jcb,Female
38,Aluino,Spoor,jcb,Genderfluid
39,Amalea,Fydoe,diners-club-enroute,Female
40,Minnaminnie,Gagan,switch,Bigender
41,Turner,MacAdam,diners-club-enroute,Male
42,Baxie,Matuszyk,jcb,Male
43,Petey,Snape,diners-club-enroute,Male
44,Farlie,Henmarsh,jcb,Male
45,Wells,Deinhardt,visa,Male
46,Sandie,Burstow,americanexpress,Female
47,Alfy,Sumshon,diners-club-us-ca,Female
48,Peggi,Gimblet,jcb,Female
49,Creigh,Kimblen,americanexpress,Male
50,Anson,Casillis,jcb,Male
